"INCOME (INCLUDING GOVERNMENT ALLOWANCES)","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Measure code","Parent Description","Measure Description",2011,2016,2017,2018,2019,2020,2021,2022
"INCOME_4","Personal income in Australia - year ended 30 June","Employee income earners (no.)",NA,260,268,272,279,273,NA,NA
"INCOME_20","Personal income in Australia - year ended 30 June","Employee income earners - median age (years)",NA,44,44,42,41,42,NA,NA
"INCOME_3","Personal income in Australia - year ended 30 June","Total employee income ($m)",NA,10.6,12.2,12.1,14.3,12.8,NA,NA
"INCOME_2","Personal income in Australia - year ended 30 June","Median employee income ($)",NA,33726,35240,36480,45692,42114,NA,NA
"INCOME_21","Personal income in Australia - year ended 30 June","Mean employee income ($)",NA,40643,45506,44664,51190,46982,NA,NA
"INCOME_22","Personal income in Australia - year ended 30 June","Employee income as main source of income (%)",NA,71.1,72.5,73.9,72.9,73.8,NA,NA
"INCOME_7","Personal income in Australia - year ended 30 June","Own unincorporated business income earners (no.)",NA,71,77,79,80,79,NA,NA
"INCOME_23","Personal income in Australia - year ended 30 June","Own unincorporated business income earners - median age (years)",NA,53,54,55,56,57,NA,NA
"INCOME_6","Personal income in Australia - year ended 30 June","Total own unincorporated business income ($m)",NA,2,2.1,2,1.9,1.2,NA,NA
"INCOME_5","Personal income in Australia - year ended 30 June","Median own unincorporated business income ($)",NA,15037,12054,9000,14258,12694,NA,NA
"INCOME_24","Personal income in Australia - year ended 30 June","Mean own unincorporated business income ($)",NA,27673,27327,24871,23522,15679,NA,NA
"INCOME_25","Personal income in Australia - year ended 30 June","Own unincorporated business income as main source of income (%)",NA,15,12.5,10.4,10.7,11.6,NA,NA
"INCOME_10","Personal income in Australia - year ended 30 June","Investment income earners (no.)",NA,195,222,212,232,202,NA,NA
"INCOME_26","Personal income in Australia - year ended 30 June","Investment income earners - median age (years)",NA,52,52,53,49,52,NA,NA
"INCOME_9","Personal income in Australia - year ended 30 June","Total investment income ($m)",NA,2.1,5.3,3.2,4.4,2,NA,NA
"INCOME_8","Personal income in Australia - year ended 30 June","Median investment income ($)",NA,1181,1384,785,637,894,NA,NA
"INCOME_27","Personal income in Australia - year ended 30 June","Mean investment income ($)",NA,10732,23951,15196,19143,10106,NA,NA
"INCOME_28","Personal income in Australia - year ended 30 June","Investment income as main source of income (%)",NA,12.5,14.4,14.7,15.8,12.3,NA,NA
"INCOME_13","Personal income in Australia - year ended 30 June","Superannuation and annuity income earners (no.)",NA,NA,6,NA,10,11,NA,NA
"INCOME_29","Personal income in Australia - year ended 30 June","Superannuation and annuity income earners - median age (years)",NA,NA,60,NA,59,60,NA,NA
"INCOME_12","Personal income in Australia - year ended 30 June","Total superannuation and annuity income ($m)",NA,NA,0.1,NA,0.2,0.3,NA,NA
"INCOME_11","Personal income in Australia - year ended 30 June","Median superannuation and annuity income ($)",NA,NA,19894,NA,10949,24273,NA,NA
"INCOME_30","Personal income in Australia - year ended 30 June","Mean superannuation and annuity income ($)",NA,NA,24354,NA,20169,27949,NA,NA
"INCOME_31","Personal income in Australia - year ended 30 June","Superannuation and annuity income as main source of income (%)",NA,NA,0.7,NA,0.3,1.3,NA,NA
