"ABORIGINAL AND TORRES STRAIT ISLANDER PEOPLES","...2","...3","...4","...5","...6"
NA,NA,NA,NA,NA,NA
"Measure code","Parent Description","Measure Description",2011,2016,2021
"ING_ERP_P","Estimated resident Aboriginal and Torres Strait Islander population - at 30 June","Estimated resident Aboriginal and Torres Strait Islander population (no.)",NA,NA,1
"ING_LANG1","Language - Census","Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%)",0,0,0
"ING_LANG2","Language - Census","Speaks English at home (%)",0,100,100
"ING_EETP1","Engagement in employment, education or training - Census","Fully engaged (%)",0,0,0
"ING_EETP2","Engagement in employment, education or training - Census","Partially or at least partially engaged (%)",0,0,0
"ING_EETP3","Engagement in employment, education or training - Census","Not engaged (%)",0,0,0
"ING_EMP1","Labour force status - Census","Employed (no.)",0,0,3
"ING_EMP2","Labour force status - Census","% of total labour force employed",0,0,100
"ING_UNEMP1","Labour force status - Census","Unemployed (no.)",0,0,0
"ING_UNEMP2","Labour force status - Census","% of total labour force unemployed",0,0,0
"ING_LABF","Labour force status - Census","In the labour force (no.)",0,5,3
"ING_LFPR","Labour force status - Census","Labour force participation rate (%)",0,100,100
"ING_NILF","Labour force status - Census","Not in the labour force (%)",0,0,0
"ING_1564","Labour force status - Census","Total responding population aged 15-64 years (no.)",3,5,3
"ING_EMP3","Labour force status - Census","% of total Census responding population employed",0,0,100
"ING_UA1","Unpaid assistance to a person with a disability - Census","Provided unpaid assistance (no.)",0,3,0
"ING_UA2","Unpaid assistance to a person with a disability - Census","Provided unpaid assistance (%)",0,60,0
"ING_UPCC1","Unpaid child care - Census","Cared for own child/children (no.)",0,0,0
"ING_UPCC2","Unpaid child care - Census","Cared for own child/children (%)",0,0,0
"ING_UPCC3","Unpaid child care - Census","Cared for other child/children (no.)",0,0,0
"ING_UPCC4","Unpaid child care - Census","Cared for other child/children (%)",0,0,0
"ING_UPCC5","Unpaid child care - Census","Total provided unpaid child care (no.)",0,0,0
"ING_UPCC6","Unpaid child care - Census","Total provided unpaid child care (%)",0,0,0
"ING_UPCC7","Unpaid child care - Census","Did not provide unpaid child care (no.)",3,3,0
"ING_UPCC8","Unpaid child care - Census","Did not provide unpaid child care (%)",100,60,0
