"POPULATION AND PEOPLE","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Measure code","Parent Description","Measure Description",2011,2016,2017,2018,2019,2020,2021,2022,2023
"ERP_P_20","Estimated resident population - year ended 30 June","Estimated resident population (no.)",NA,NA,NA,426,431,438,444,450,452
"ERP_21","Estimated resident population - year ended 30 June","Population density (persons/km2)",NA,NA,NA,26.1,26.5,26.9,27.3,27.6,27.7
"ERP_M_20","Estimated resident population - year ended 30 June","Estimated resident population - males (no.)",NA,NA,NA,194,195,195,196,198,199
"ERP_F_20","Estimated resident population - year ended 30 June","Estimated resident population - females (no.)",NA,NA,NA,232,236,243,248,252,253
"ERP_19","Estimated resident population - year ended 30 June","Median age - males (years)",NA,NA,NA,43.8,46,47.5,44.8,44,44.1
"ERP_22","Estimated resident population - year ended 30 June","Median age - females (years)",NA,NA,NA,43.3,43.3,42.9,42.6,42.2,42.1
"ERP_23","Estimated resident population - year ended 30 June","Median age - persons (years)",NA,NA,NA,43.6,44.1,44.3,43.3,43,43.5
"ERP_18","Estimated resident population - year ended 30 June","Working age population (aged 15-64 years) (no.)",NA,NA,NA,284,284,279,285,287,280
"ERP_17","Estimated resident population - year ended 30 June","Working age population (aged 15-64 years) (%)",NA,NA,NA,66.7,65.9,63.7,64.2,63.8,61.9
"ERP_M_2","Estimated resident population - Males - year ended 30 June","Males - 0-4 years (no.)",NA,NA,NA,16,14,13,14,8,7
"ERP_M_3","Estimated resident population - Males - year ended 30 June","Males - 5-9 years (no.)",NA,NA,NA,10,11,12,13,14,17
"ERP_M_4","Estimated resident population - Males - year ended 30 June","Males - 10-14 years (no.)",NA,NA,NA,12,14,11,4,11,10
"ERP_M_5","Estimated resident population - Males - year ended 30 June","Males - 15-19 years (no.)",NA,NA,NA,2,2,4,NA,1,3
"ERP_M_6","Estimated resident population - Males - year ended 30 June","Males - 20-24 years (no.)",NA,NA,NA,5,2,NA,NA,2,4
"ERP_M_7","Estimated resident population - Males - year ended 30 June","Males - 25-29 years (no.)",NA,NA,NA,14,11,9,8,6,8
"ERP_M_8","Estimated resident population - Males - year ended 30 June","Males - 30-34 years (no.)",NA,NA,NA,13,15,16,23,22,14
"ERP_M_9","Estimated resident population - Males - year ended 30 June","Males - 35-39 years (no.)",NA,NA,NA,13,9,7,11,11,17
"ERP_M_10","Estimated resident population - Males - year ended 30 June","Males - 40-44 years (no.)",NA,NA,NA,14,18,20,24,27,23
"ERP_M_11","Estimated resident population - Males - year ended 30 June","Males - 45-49 years (no.)",NA,NA,NA,7,9,11,8,4,9
"ERP_M_12","Estimated resident population - Males - year ended 30 June","Males - 50-54 years (no.)",NA,NA,NA,19,14,11,6,6,5
"ERP_M_13","Estimated resident population - Males - year ended 30 June","Males - 55-59 years (no.)",NA,NA,NA,16,18,18,21,13,7
"ERP_M_14","Estimated resident population - Males - year ended 30 June","Males - 60-64 years (no.)",NA,NA,NA,16,15,14,15,25,21
"ERP_M_15","Estimated resident population - Males - year ended 30 June","Males - 65-69 years (no.)",NA,NA,NA,15,20,25,22,17,16
"ERP_M_16","Estimated resident population - Males - year ended 30 June","Males - 70-74 years (no.)",NA,NA,NA,6,8,11,17,19,26
"ERP_M_17","Estimated resident population - Males - year ended 30 June","Males - 75-79 years (no.)",NA,NA,NA,10,8,4,4,6,2
"ERP_M_18","Estimated resident population - Males - year ended 30 June","Males - 80-84 years (no.)",NA,NA,NA,2,5,7,6,6,10
"ERP_M_19","Estimated resident population - Males - year ended 30 June","Males - 85 and over (no.)",NA,NA,NA,4,2,2,NA,NA,NA
"ERP_M_21","Estimated resident population - Males - year ended 30 June","Males - 0-4 years (%)",NA,NA,NA,8.2,7.2,6.7,7.1,4,3.5
"ERP_M_22","Estimated resident population - Males - year ended 30 June","Males - 5-9 years (%)",NA,NA,NA,5.2,5.6,6.2,6.6,7.1,8.5
"ERP_M_23","Estimated resident population - Males - year ended 30 June","Males - 10-14 years (%)",NA,NA,NA,6.2,7.2,5.6,2,5.6,5
"ERP_M_24","Estimated resident population - Males - year ended 30 June","Males - 15-19 years (%)",NA,NA,NA,1,1,2.1,NA,0.5,1.5
"ERP_M_25","Estimated resident population - Males - year ended 30 June","Males - 20-24 years (%)",NA,NA,NA,2.6,1,NA,NA,1,2
"ERP_M_26","Estimated resident population - Males - year ended 30 June","Males - 25-29 years (%)",NA,NA,NA,7.2,5.6,4.6,4.1,3,4
"ERP_M_27","Estimated resident population - Males - year ended 30 June","Males - 30-34 years (%)",NA,NA,NA,6.7,7.7,8.2,11.7,11.1,7
"ERP_M_28","Estimated resident population - Males - year ended 30 June","Males - 35-39 years (%)",NA,NA,NA,6.7,4.6,3.6,5.6,5.6,8.5
"ERP_M_29","Estimated resident population - Males - year ended 30 June","Males - 40-44 years (%)",NA,NA,NA,7.2,9.2,10.3,12.2,13.6,11.6
"ERP_M_30","Estimated resident population - Males - year ended 30 June","Males - 45-49 years (%)",NA,NA,NA,3.6,4.6,5.6,4.1,2,4.5
"ERP_M_31","Estimated resident population - Males - year ended 30 June","Males - 50-54 years (%)",NA,NA,NA,9.8,7.2,5.6,3.1,3,2.5
"ERP_M_32","Estimated resident population - Males - year ended 30 June","Males - 55-59 years (%)",NA,NA,NA,8.2,9.2,9.2,10.7,6.6,3.5
"ERP_M_33","Estimated resident population - Males - year ended 30 June","Males - 60-64 years (%)",NA,NA,NA,8.2,7.7,7.2,7.7,12.6,10.6
"ERP_M_34","Estimated resident population - Males - year ended 30 June","Males - 65-69 years (%)",NA,NA,NA,7.7,10.3,12.8,11.2,8.6,8
"ERP_M_35","Estimated resident population - Males - year ended 30 June","Males - 70-74 years (%)",NA,NA,NA,3.1,4.1,5.6,8.7,9.6,13.1
"ERP_M_36","Estimated resident population - Males - year ended 30 June","Males - 75-79 years (%)",NA,NA,NA,5.2,4.1,2.1,2,3,1
"ERP_M_37","Estimated resident population - Males - year ended 30 June","Males - 80-84 years (%)",NA,NA,NA,1,2.6,3.6,3.1,3,5
"ERP_M_38","Estimated resident population - Males - year ended 30 June","Males - 85 and over (%)",NA,NA,NA,2.1,1,1,NA,NA,NA
"ERP_F_2","Estimated resident population - Females - year ended 30 June","Females - 0-4 years (no.)",NA,NA,NA,10,14,8,9,8,10
"ERP_F_3","Estimated resident population - Females - year ended 30 June","Females - 5-9 years (no.)",NA,NA,NA,15,12,16,19,22,15
"ERP_F_4","Estimated resident population - Females - year ended 30 June","Females - 10-14 years (no.)",NA,NA,NA,10,7,13,12,10,16
"ERP_F_5","Estimated resident population - Females - year ended 30 June","Females - 15-19 years (no.)",NA,NA,NA,2,7,4,5,6,7
"ERP_F_6","Estimated resident population - Females - year ended 30 June","Females - 20-24 years (no.)",NA,NA,NA,10,9,7,5,13,15
"ERP_F_7","Estimated resident population - Females - year ended 30 June","Females - 25-29 years (no.)",NA,NA,NA,17,17,21,17,13,7
"ERP_F_8","Estimated resident population - Females - year ended 30 June","Females - 30-34 years (no.)",NA,NA,NA,20,20,19,29,26,32
"ERP_F_9","Estimated resident population - Females - year ended 30 June","Females - 35-39 years (no.)",NA,NA,NA,19,18,18,12,21,23
"ERP_F_10","Estimated resident population - Females - year ended 30 June","Females - 40-44 years (no.)",NA,NA,NA,20,21,25,27,17,13
"ERP_F_11","Estimated resident population - Females - year ended 30 June","Females - 45-49 years (no.)",NA,NA,NA,11,13,13,18,18,18
"ERP_F_12","Estimated resident population - Females - year ended 30 June","Females - 50-54 years (no.)",NA,NA,NA,15,13,12,11,16,14
"ERP_F_13","Estimated resident population - Females - year ended 30 June","Females - 55-59 years (no.)",NA,NA,NA,25,21,21,18,11,13
"ERP_F_14","Estimated resident population - Females - year ended 30 June","Females - 60-64 years (no.)",NA,NA,NA,26,32,29,27,29,27
"ERP_F_15","Estimated resident population - Females - year ended 30 June","Females - 65-69 years (no.)",NA,NA,NA,8,6,5,9,11,14
"ERP_F_16","Estimated resident population - Females - year ended 30 June","Females - 70-74 years (no.)",NA,NA,NA,6,9,14,13,14,5
"ERP_F_17","Estimated resident population - Females - year ended 30 June","Females - 75-79 years (no.)",NA,NA,NA,16,12,12,10,7,11
"ERP_F_18","Estimated resident population - Females - year ended 30 June","Females - 80-84 years (no.)",NA,NA,NA,NA,4,5,7,10,13
"ERP_F_19","Estimated resident population - Females - year ended 30 June","Females - 85 and over (no.)",NA,NA,NA,2,1,1,NA,NA,NA
"ERP_F_21","Estimated resident population - Females - year ended 30 June","Females - 0-4 years (%)",NA,NA,NA,4.3,5.9,3.3,3.6,3.2,4
"ERP_F_22","Estimated resident population - Females - year ended 30 June","Females - 5-9 years (%)",NA,NA,NA,6.5,5.1,6.6,7.7,8.7,5.9
"ERP_F_23","Estimated resident population - Females - year ended 30 June","Females - 10-14 years (%)",NA,NA,NA,4.3,3,5.3,4.8,4,6.3
"ERP_F_24","Estimated resident population - Females - year ended 30 June","Females - 15-19 years (%)",NA,NA,NA,0.9,3,1.6,2,2.4,2.8
"ERP_F_25","Estimated resident population - Females - year ended 30 June","Females - 20-24 years (%)",NA,NA,NA,4.3,3.8,2.9,2,5.2,5.9
"ERP_F_26","Estimated resident population - Females - year ended 30 June","Females - 25-29 years (%)",NA,NA,NA,7.3,7.2,8.6,6.9,5.2,2.8
"ERP_F_27","Estimated resident population - Females - year ended 30 June","Females - 30-34 years (%)",NA,NA,NA,8.6,8.5,7.8,11.7,10.3,12.6
"ERP_F_28","Estimated resident population - Females - year ended 30 June","Females - 35-39 years (%)",NA,NA,NA,8.2,7.6,7.4,4.8,8.3,9.1
"ERP_F_29","Estimated resident population - Females - year ended 30 June","Females - 40-44 years (%)",NA,NA,NA,8.6,8.9,10.3,10.9,6.7,5.1
"ERP_F_30","Estimated resident population - Females - year ended 30 June","Females - 45-49 years (%)",NA,NA,NA,4.7,5.5,5.3,7.3,7.1,7.1
"ERP_F_31","Estimated resident population - Females - year ended 30 June","Females - 50-54 years (%)",NA,NA,NA,6.5,5.5,4.9,4.4,6.3,5.5
"ERP_F_32","Estimated resident population - Females - year ended 30 June","Females - 55-59 years (%)",NA,NA,NA,10.8,8.9,8.6,7.3,4.4,5.1
"ERP_F_33","Estimated resident population - Females - year ended 30 June","Females - 60-64 years (%)",NA,NA,NA,11.2,13.6,11.9,10.9,11.5,10.7
"ERP_F_34","Estimated resident population - Females - year ended 30 June","Females - 65-69 years (%)",NA,NA,NA,3.4,2.5,2.1,3.6,4.4,5.5
"ERP_F_35","Estimated resident population - Females - year ended 30 June","Females - 70-74 years (%)",NA,NA,NA,2.6,3.8,5.8,5.2,5.6,2
"ERP_F_36","Estimated resident population - Females - year ended 30 June","Females - 75-79 years (%)",NA,NA,NA,6.9,5.1,4.9,4,2.8,4.3
"ERP_F_37","Estimated resident population - Females - year ended 30 June","Females - 80-84 years (%)",NA,NA,NA,NA,1.7,2.1,2.8,4,5.1
"ERP_F_38","Estimated resident population - Females - year ended 30 June","Females - 85 and over (%)",NA,NA,NA,0.9,0.4,0.4,NA,NA,NA
"ERP_P_2","Estimated resident population - Persons - year ended 30 June","Persons - 0-4 years (no.)",NA,NA,NA,26,28,21,23,16,17
"ERP_P_3","Estimated resident population - Persons - year ended 30 June","Persons - 5-9 years (no.)",NA,NA,NA,25,23,28,32,36,32
"ERP_P_4","Estimated resident population - Persons - year ended 30 June","Persons - 10-14 years (no.)",NA,NA,NA,22,21,24,16,21,26
"ERP_P_5","Estimated resident population - Persons - year ended 30 June","Persons - 15-19 years (no.)",NA,NA,NA,4,9,8,5,7,10
"ERP_P_6","Estimated resident population - Persons - year ended 30 June","Persons - 20-24 years (no.)",NA,NA,NA,15,11,7,5,15,19
"ERP_P_7","Estimated resident population - Persons - year ended 30 June","Persons - 25-29 years (no.)",NA,NA,NA,31,28,30,25,19,15
"ERP_P_8","Estimated resident population - Persons - year ended 30 June","Persons - 30-34 years (no.)",NA,NA,NA,33,35,35,52,48,46
"ERP_P_9","Estimated resident population - Persons - year ended 30 June","Persons - 35-39 years (no.)",NA,NA,NA,32,27,25,23,32,40
"ERP_P_10","Estimated resident population - Persons - year ended 30 June","Persons - 40-44 years (no.)",NA,NA,NA,34,39,45,51,44,36
"ERP_P_11","Estimated resident population - Persons - year ended 30 June","Persons - 45-49 years (no.)",NA,NA,NA,18,22,24,26,22,27
"ERP_P_12","Estimated resident population - Persons - year ended 30 June","Persons - 50-54 years (no.)",NA,NA,NA,34,27,23,17,22,19
"ERP_P_13","Estimated resident population - Persons - year ended 30 June","Persons - 55-59 years (no.)",NA,NA,NA,41,39,39,39,24,20
"ERP_P_14","Estimated resident population - Persons - year ended 30 June","Persons - 60-64 years (no.)",NA,NA,NA,42,47,43,42,54,48
"ERP_P_15","Estimated resident population - Persons - year ended 30 June","Persons - 65-69 years (no.)",NA,NA,NA,23,26,30,31,28,30
"ERP_P_16","Estimated resident population - Persons - year ended 30 June","Persons - 70-74 years (no.)",NA,NA,NA,12,17,25,30,33,31
"ERP_P_17","Estimated resident population - Persons - year ended 30 June","Persons - 75-79 years (no.)",NA,NA,NA,26,20,16,14,13,13
"ERP_P_18","Estimated resident population - Persons - year ended 30 June","Persons - 80-84 years (no.)",NA,NA,NA,2,9,12,13,16,23
"ERP_P_19","Estimated resident population - Persons - year ended 30 June","Persons - 85 and over (no.)",NA,NA,NA,6,3,3,NA,NA,NA
"ERP_P_21","Estimated resident population - Persons - year ended 30 June","Persons - 0-4 years (%)",NA,NA,NA,6.1,6.5,4.8,5.2,3.6,3.8
"ERP_P_22","Estimated resident population - Persons - year ended 30 June","Persons - 5-9 years (%)",NA,NA,NA,5.9,5.3,6.4,7.2,8,7.1
"ERP_P_23","Estimated resident population - Persons - year ended 30 June","Persons - 10-14 years (%)",NA,NA,NA,5.2,4.9,5.5,3.6,4.7,5.8
"ERP_P_24","Estimated resident population - Persons - year ended 30 June","Persons - 15-19 years (%)",NA,NA,NA,0.9,2.1,1.8,1.1,1.6,2.2
"ERP_P_25","Estimated resident population - Persons - year ended 30 June","Persons - 20-24 years (%)",NA,NA,NA,3.5,2.6,1.6,1.1,3.3,4.2
"ERP_P_26","Estimated resident population - Persons - year ended 30 June","Persons - 25-29 years (%)",NA,NA,NA,7.3,6.5,6.8,5.6,4.2,3.3
"ERP_P_27","Estimated resident population - Persons - year ended 30 June","Persons - 30-34 years (%)",NA,NA,NA,7.7,8.1,8,11.7,10.7,10.2
"ERP_P_28","Estimated resident population - Persons - year ended 30 June","Persons - 35-39 years (%)",NA,NA,NA,7.5,6.3,5.7,5.2,7.1,8.8
"ERP_P_29","Estimated resident population - Persons - year ended 30 June","Persons - 40-44 years (%)",NA,NA,NA,8,9,10.3,11.5,9.8,8
"ERP_P_30","Estimated resident population - Persons - year ended 30 June","Persons - 45-49 years (%)",NA,NA,NA,4.2,5.1,5.5,5.9,4.9,6
"ERP_P_31","Estimated resident population - Persons - year ended 30 June","Persons - 50-54 years (%)",NA,NA,NA,8,6.3,5.3,3.8,4.9,4.2
"ERP_P_32","Estimated resident population - Persons - year ended 30 June","Persons - 55-59 years (%)",NA,NA,NA,9.6,9,8.9,8.8,5.3,4.4
"ERP_P_33","Estimated resident population - Persons - year ended 30 June","Persons - 60-64 years (%)",NA,NA,NA,9.9,10.9,9.8,9.5,12,10.6
