"ECONOMY AND INDUSTRY","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Measure code","Parent Description","Measure Description",2011,2016,2017,2018,2019,2020,2021,2022,2023,2024
"CABEE_2","Number of businesses - at 30 June","Number of non-employing businesses",NA,NA,NA,NA,24,26,27,30,33,NA
"CABEE_3","Number of businesses - at 30 June","Number of employing businesses: 1-4 employees",NA,NA,NA,NA,15,21,25,26,26,NA
"CABEE_4","Number of businesses - at 30 June","Number of employing businesses: 5-19 employees",NA,NA,NA,NA,14,9,10,11,11,NA
"CABEE_38","Number of businesses - at 30 June","Number of employing businesses: 20 or more employees",NA,NA,NA,NA,NA,3,NA,NA,3,NA
"CABEE_5","Number of businesses - at 30 June","Total number of businesses",NA,NA,NA,NA,54,57,63,69,72,NA
"CABEE_7","Business entries - year ended 30 June","Number of non-employing business entries",NA,NA,NA,NA,NA,5,7,5,3,NA
"CABEE_8","Business entries - year ended 30 June","Number of employing business entries: 1-4 employees",NA,NA,NA,NA,NA,5,3,3,3,NA
"CABEE_9","Business entries - year ended 30 June","Number of employing business entries: 5-19 employees",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"CABEE_10","Business entries - year ended 30 June","Total number of business entries",NA,NA,NA,NA,NA,10,10,7,6,NA
"CABEE_12","Business exits - year ended 30 June","Number of non-employing business exits",NA,NA,NA,NA,NA,3,4,NA,NA,NA
"CABEE_13","Business exits - year ended 30 June","Number of employing business exits: 1-4 employees",NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"CABEE_15","Business exits - year ended 30 June","Total number of business exits",NA,NA,NA,NA,NA,8,5,4,3,NA
"CABEE_19","Number of businesses by industry - at 30 June","Agriculture, forestry and fishing (no.)",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"CABEE_27","Number of businesses by industry - at 30 June","Manufacturing (no.)",NA,NA,NA,NA,NA,3,NA,3,3,NA
"CABEE_21","Number of businesses by industry - at 30 June","Construction (no.)",NA,NA,NA,NA,6,7,5,6,7,NA
